En esta lista se detallan los «términos compuestos» que la herramienta [[Usuario:Benjavalero/Replacer|Replacer]] detecta como potencialmente erróneos.

El formato es el mismo que el del [[Wikipedia:Corrector ortográfico/Listado|listado de términos simples]], con la salvedad de que este listado extiende al anterior con términos o expresiones que contienen caracteres no alfabéticos: espacios, números, etc. Las recomendaciones aplican igualmente.
<!-- Procurar el orden alfabético -->

{{Índice|num=sí|sim=sí}}
 anti-spam||''antispam''
 anti submarina||antisubmarina
 anti-submarina||antisubmarina
 anti submarinas||antisubmarinas
 anti-submarinas||antisubmarinas
 anti submarino||antisubmarino
 anti-submarino||antisubmarino
 anti submarinos||antisubmarinos
 anti-submarinos||antisubmarinos
 anti tanque||antitanque
 anti-tanque||antitanque
 anti tanques||antitanques
 anti-tanques||antitanques
 anti terrorismo||antiterrorismo
 anti-terrorismo||antiterrorismo
 anti terrorista||antiterrorista
 anti-terrorista||antiterrorista
 anti terroristas||antiterroristas
 anti-terroristas||antiterroristas
 anti virus||antivirus
 anti-virus||antivirus
 anuncio que||anunció que
 anuncio su||anunció su
 [[apartheid]]||''[[apartheid]]'' (vocablo en afrikáans, en cursivas y con enlace)
 arriba a abajo||arriba abajo
 a parte||a parte (locución), aparte (adjetivo, sustantivo, adverbio o verbo)
 a pesar que||a pesar de que
 apenas sí||apenas si
 a posteriori||''a posteriori'', ''A posteriori'' (para inicios de frase o columnas de tablas)
 a-posteriori||''a posteriori'', ''A posteriori'' (para inicios de frase o columnas de tablas)
 A posteriori|cs|''a posteriori'', ''A posteriori'' (para inicios de frase o columnas de tablas)
 a priori||''a priori'', ''A priori'' (para inicios de frase o columnas de tablas)
 a-priori||''a priori'', ''A priori'' (para inicios de frase o columnas de tablas)
 A priori|cs|''a priori'', ''A priori'' (para inicios de frase o columnas de tablas)
 aproximadamente unos||aproximadamente, unos
 a una altura de||a una altitud de («altitud» es sobre el nivel del mar), a una altura de («altura» es sobre el terreno o superficie inmediatamente inferior)
 aún así||aun así (equivale a «pese a eso» o «sin embargo»), aún así (equivale a «todavía así»)
 auto ayuda||autoayuda
 auto-ayuda||autoayuda
 auto control||autocontrol
 auto-control||autocontrol
 auto suficiente||autosuficiente
 auto-suficiente||autosuficiente
 auto suficientes||autosuficientes
 auto-suficientes||autosuficientes

== B ==

 baby boom||''baby boom'', explosión de natalidad
 baby-boom||''baby boom'', explosión de natalidad
 baja edad media|cs|Baja Edad Media
 baja edad Media|cs|Baja Edad Media
 baja Edad media|cs|Baja Edad Media
 baja Edad Media|cs|Baja Edad Media
 Baja edad media|cs|Baja Edad Media
 Baja edad Media|cs|Baja Edad Media
 Baja Edad media|cs|Baja Edad Media
 bajo la base de||sobre la base de
 bajo la base del||sobre la base del
 beauty addict||adicto a la belleza, adicta a la belleza
 big five||los 5 grandes, los cinco grandes

== C ==

 C's|cs|Cs (Ciudadanos, partido político español)
 caben destacar||cabe destacar
 caben mencionar||cabe mencionar
 caben señalar||cabe señalar
 canta autor||cantautor
 canta-autor||cantautor
 canta autores||cantautores
 canta-autores||cantautores
 Carlos Ménem|cs|Carlos Menem
 castilla la mancha||Castilla-La Mancha
 Castilla- La Mancha|cs|Castilla-La Mancha
 Castilla-León|cs|Castilla y León
 Castilla León|cs|Castilla y León
 Castilla Leon|cs|Castilla y León
 Castilla y Leon|cs|Castilla y León
 caza recompensa||cazarrecompensas (es invariable en plural)
 caza recompensas||cazarrecompensas
 cazarrecompensa||cazarrecompensas (es invariable en plural)
 Ché Guevara|cs|Che Guevara
 ciencia-ficcion||ciencia ficción
 ciencia-ficción||ciencia ficción
 Círculo Polar Antártico|cs|círculo polar antártico, Círculo polar antártico (para inicios de frase o columnas de tablas)
 Círculo Polar Ártico|cs|círculo polar ártico, Círculo polar ártico (para inicios de frase o columnas de tablas)
 [[ciudad de México]]|cs|[[Ciudad de México]] (con mayúscula inicial, incluso precedida de artículo)
 [[ciudad de Mexico]]||[[Ciudad de México]] (con mayúscula inicial, incluso precedida de artículo)
 ciudad de México|cs|Ciudad de México (con mayúscula inicial, incluso precedida de artículo)
 ciudad de Mexico||Ciudad de México (con mayúscula inicial, incluso precedida de artículo)
 ciudad de Panamá|cs|Ciudad de Panamá (con mayúscula inicial, incluso precedida de artículo)
 ciudad de Panama||Ciudad de Panamá (con mayúscula inicial, incluso precedida de artículo)
 cm. de||cm de (símbolo de centímetros —no lleva punto—)
 cm2||cm² (centímetro cuadrado), centímetro cuadrado, centímetros cuadrados
 cm3||cm³ (centímetro cúbico), centímetro cúbico, centímetros cúbicos
 co anima||coanima
 co-anima||coanima
 co animacion||coanimación
 co-animacion||coanimación
 co animación||coanimación
 co-animación||coanimación
 co animaciones||coanimaciones
 co-animaciones||coanimaciones
 co animada||coanimada
 co-animada||coanimada
 co animadas||coanimadas
 co-animadas||coanimadas
 co animado||coanimado
 co-animado||coanimado
 co animador||coanimador
 co-animador||coanimador
 co animadora||coanimadora
 co-animadora||coanimadora
 co animadoras||coanimadoras
 co-animadoras||coanimadoras
 co animadores||coanimadores
 co-animadores||coanimadores
 co animados||coanimados
 co-animados||coanimados
 co animando||coanimando
 co-animando||coanimando
 co animar||coanimar
 co-animar||coanimar
 co autor||coautor
 co-autor||coautor
 co autora||coautora
 co-autora||coautora
 co autoras||coautoras
 co-autoras||coautoras
 co autores||coautores
 co-autores||coautores
 co autoria||coautoría
 co-autoria||coautoría
 co autoría||coautoría
 co-autoría||coautoría
 co autorias||coautorías
 co-autorias||coautorías
 co autorías||coautorías
 co-autorías||coautorías
 co compositor||cocompositor
 co-compositor||cocompositor
 co compositora||cocompositora
 co-compositora||cocompositora
 co compositoras||cocompositoras
 co-compositoras||cocompositoras
 co compositores||cocompositores
 co-compositores||cocompositores
 co conduccion||coconducción
 co-conduccion||coconducción
 co conducción||coconducción
 co-conducción||coconducción
 co conduce||coconduce
 co-conduce||coconduce
 co conducen||coconducen
 co-conducen||coconducen
 co conducida||coconducida
 co-conducida||coconducida
 co conducidas||coconducidas
 co-conducidas||coconducidas
 co conducido||coconducido
 co-conducido||coconducido
 co conducidos||coconducidos
 co-conducidos||coconducidos
 co conduciendo||coconduciendo
 co-conduciendo||coconduciendo
 co conducir||coconducir
 co-conducir||coconducir
 co conductor||coconductor
 co-conductor||coconductor
 co conductora||coconductora
 co-conductora||coconductora
 co conductoras||coconductoras
 co-conductoras||coconductoras
 co conductores||coconductores
 co-conductores||coconductores
 co condujeron||cocondujeron
 co-condujeron||cocondujeron
 co condujo||cocondujo
 co-condujo||cocondujo
 co crea||cocrea
 co-crea||cocrea
 co creacion||cocreación
 co-creacion||cocreación
 co creación||cocreación
 co-creación||cocreación
 co creaciones||cocreaciones
 co-creaciones||cocreaciones
 co creada||cocreada
 co-creada||cocreada
 co creadas||cocreadas
 co-creadas||cocreadas
 co creado||cocreado
 co-creado||cocreado
 co creador||cocreador
 co-creador||cocreador
 co creadora||cocreadora
 co-creadora||cocreadora
 co creadoras||cocreadoras
 co-creadoras||cocreadoras
 co creados||cocreados
 co-creados||cocreados
 co crean||cocrean
 co-crean||cocrean
 co creando||cocreando
 co-creando||cocreando
 co crear||cocrear
 co-crear||cocrear
 co crearía||cocrearía
 co-crearía||cocrearía
 co crearon||cocrearon
 co-crearon||cocrearon
